City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ambodifotatra,-16.9833,49.85,22.310000000000002,82,27,2.83,MG,1691701175
1,puerto natales,-51.7236,-72.4875,3.0200000000000387,80,100,2.81,CL,1691700976
2,thompson,55.7435,-97.8558,19.090000000000032,48,75,1.54,CA,1691700970
3,port-aux-francais,-49.35,70.2167,3.930000000000007,90,100,14.89,TF,1691700979
4,quellon,-43.1167,-73.6167,7.140000000000043,81,75,8.23,CL,1691701007
5,huarmey,-10.0681,-78.1522,21.510000000000048,74,3,5.87,PE,1691701175
6,lazaro cardenas,17.9583,-102.2,31.510000000000048,62,75,3.54,MX,1691700884
7,petropavlovsk-kamchatsky,53.0452,158.6483,9.330000000000041,87,0,4.0,RU,1691700977
8,adamstown,-25.066,-130.1015,17.710000000000036,64,28,11.28,PN,1691700972
9,klyuchi,52.2667,79.1667,17.05000000000001,92,98,4.85,RU,1691701002
10,island harbour,50.724,-1.2758,19.400000000000034,90,19,0.45,GB,1691701176
11,murygino,58.7383,49.4582,17.910000000000025,80,0,1.4,RU,1691701176
12,cullowhee,35.3137,-83.1765,28.870000000000005,72,0,4.63,US,1691701176
13,iskateley,67.6803,53.1512,10.660000000000025,79,7,2.48,RU,1691700981
14,grytviken,-54.2811,-36.5092,-1.509999999999991,97,95,3.29,GS,1691700973
15,iqaluit,63.7506,-68.5145,8.850000000000023,87,40,5.14,CA,1691701005
16,udachny,66.4167,112.4,16.360000000000014,82,84,2.43,RU,1691700978
17,blackmans bay,-43.0167,147.3167,8.07000000000005,84,100,3.22,AU,1691700976
18,avarua,-21.2078,-159.775,25.03000000000003,78,75,7.2,CK,1691700945
19,belleville,44.1788,-77.3705,22.07000000000005,82,40,1.54,CA,1691701176
20,enewetak,11.3474,162.3373,28.360000000000014,78,33,5.19,MH,1691700999
21,susuman,62.7833,148.1667,13.640000000000043,53,6,0.72,RU,1691701003
22,seguela,7.9611,-6.6731,21.120000000000005,96,100,2.69,CI,1691701177
23,edinburgh of the seven seas,-37.0676,-12.3116,12.080000000000041,69,28,12.09,SH,1691700974
24,port alfred,-33.5906,26.891,19.930000000000007,58,0,4.75,ZA,1691700980
25,alaghsas,17.0187,8.0168,29.980000000000018,49,98,2.19,NE,1691701177
26,scottburgh,-30.2867,30.7532,18.260000000000048,77,94,7.33,ZA,1691701177
27,anadyr,64.75,177.4833,9.28000000000003,81,75,5.0,RU,1691700978
28,kolonia town,6.964,158.206,28.54000000000002,75,65,6.67,FM,1691701177
29,pasni,25.2631,63.471,26.980000000000018,83,94,5.22,PK,1691701177
30,regina,50.4501,-104.6178,24.060000000000002,58,75,4.12,CA,1691701077
31,waitangi,-43.9535,-176.5597,11.57000000000005,96,77,0.45,NZ,1691700972
32,ain taya,36.7933,3.2869,27.910000000000025,74,0,2.06,DZ,1691701177
33,foundiougne,14.1333,-16.4667,27.75,68,88,5.48,SN,1691701178
34,wailua homesteads,22.0669,-159.378,28.24000000000001,75,75,6.69,US,1691700971
35,jidong,45.2167,131.0833,19.02000000000004,99,100,3.88,CN,1691701178
36,swift current,50.2834,-107.8014,23.450000000000045,46,40,5.14,CA,1691701178
37,college,64.8569,-147.8028,21.220000000000027,88,100,0.0,US,1691700976
38,bonthe,7.5264,-12.505,25.02000000000004,85,100,5.04,SL,1691701028
39,pisco,-13.7,-76.2167,22.03000000000003,64,20,7.72,PE,1691700979
40,qamdo,31.1667,97.2333,7.760000000000048,90,100,0.32,CN,1691701020
41,mandalgarh,25.2,75.1,24.79000000000002,82,73,4.28,IN,1691701178
42,ardestan,33.3761,52.3694,27.410000000000025,19,0,0.99,IR,1691701178
43,graaff-reinet,-32.2522,24.5308,18.840000000000032,38,0,4.68,ZA,1691701178
44,murakami,38.2333,139.4833,23.670000000000016,85,0,2.43,JP,1691701178
45,vorgashor,67.5833,63.95,5.520000000000039,94,43,3.42,RU,1691701003
46,belyye vody,42.4167,69.8333,23.620000000000005,29,14,3.5,KZ,1691701179
47,talcahuano,-36.7167,-73.1167,12.82000000000005,76,75,6.17,CL,1691701179
48,isafjordur,66.0755,-23.124,7.82000000000005,78,100,4.46,IS,1691700983
49,bethel,41.3712,-73.414,23.340000000000032,85,100,0.45,US,1691700971
50,ciudad del carmen,18.6333,-91.8333,33.18000000000001,57,1,2.42,MX,1691701179
51,puerto baquerizo moreno,-0.9,-89.6,26.55000000000001,78,75,7.2,EC,1691700748
52,ribeira grande,38.5167,-28.7,24.220000000000027,69,20,4.63,PT,1691700978
53,nar'yan-mar,67.6713,53.087,10.730000000000018,80,7,2.5,RU,1691700987
54,mariinsk,56.2139,87.7472,12.740000000000009,88,100,1.23,RU,1691701179
55,whitehorse,60.7161,-135.0538,19.5,50,75,4.02,CA,1691700354
56,port elizabeth,-33.918,25.5701,14.160000000000025,94,4,1.03,ZA,1691700993
57,albany,42.6001,-73.9662,25.230000000000018,96,100,0.44,US,1691700915
58,mahanoro,-19.9,48.8,18.54000000000002,89,9,1.93,MG,1691701179
59,oranjemund,-28.55,16.4333,16.960000000000036,67,21,1.46,NA,1691701180
60,teploye,53.6202,37.5903,17.29000000000002,71,99,3.68,RU,1691701180
61,stanley,54.868,-1.6985,19.840000000000032,84,0,1.54,GB,1691700994
62,talnakh,69.4865,88.3972,12.340000000000032,64,90,6.93,RU,1691700979
63,omdurman,15.6445,32.4777,31.170000000000016,53,100,6.05,SD,1691701180
64,abepura,-2.6333,140.5833,24.450000000000045,83,40,0.0,ID,1691701180
65,praia da vitoria,38.7333,-27.0667,24.310000000000002,83,40,3.27,PT,1691701065
66,antsiranana,-12.2787,49.2917,21.99000000000001,78,0,4.46,MG,1691701014
67,richards bay,-28.783,32.0377,15.800000000000011,82,0,3.06,ZA,1691700924
68,chonchi,-42.6128,-73.8092,8.560000000000002,83,100,3.97,CL,1691700988
69,weno,7.4515,151.8468,27.310000000000002,75,50,2.19,FM,1691700981
70,lebu,-37.6167,-73.65,10.210000000000036,78,48,5.56,CL,1691700982
71,georgetown,5.4112,100.3354,25.960000000000036,92,20,1.03,MY,1691700797
72,ronne,55.1009,14.7066,14.950000000000045,82,20,5.14,DK,1691701180
73,al ain city,24.1917,55.7606,36.79000000000002,28,0,1.03,AE,1691701181
74,kodiak,57.79,-152.4072,12.730000000000018,88,100,3.09,US,1691700920
75,puerto ayora,-0.7393,-90.3518,28.980000000000018,92,53,3.58,EC,1691700792
76,papatowai,-46.5619,169.4708,3.420000000000016,82,100,2.38,NZ,1691700982
77,kongsberg,59.6652,9.6465,13.439999999999998,75,81,1.3,NO,1691701181
78,fort bragg,35.139,-79.006,31.910000000000025,57,40,5.66,US,1691700980
79,lompoc,34.6391,-120.4579,27.660000000000025,71,100,2.24,US,1691701018
80,newport,51.5877,-2.9984,20.28000000000003,84,46,4.59,GB,1691701151
81,aksu,41.1231,80.2644,25.460000000000036,38,46,5.69,CN,1691701181
82,katima mulilo,-17.5,24.2667,17.170000000000016,36,0,3.93,NA,1691701181
83,constantia,44.1833,28.65,21.5,60,100,3.18,RO,1691700975
84,argo,37.6333,22.7333,26.55000000000001,69,68,0.4,GR,1691700993
85,afaahiti,-17.75,-149.2833,25.930000000000007,69,50,7.76,PF,1691700984
86,sao vicente,-23.9631,-46.3919,30.100000000000023,56,75,2.57,BR,1691701181
87,hadibu,12.65,54.0333,25.470000000000027,82,49,6.61,YE,1691700972
88,atafu village,-8.5421,-172.5159,28.29000000000002,71,31,5.35,TK,1691700992
89,ugoofaaru,5.6667,73.0,28.230000000000018,76,100,7.18,MV,1691701181
90,nieuw amsterdam,5.8833,-55.0833,31.120000000000005,70,57,5.26,SR,1691701182
91,turpan,42.9333,89.1667,34.72000000000003,20,0,2.2,CN,1691701012
92,polyarnyy,69.1989,33.4478,17.100000000000023,73,0,5.2,RU,1691700997
93,invercargill,-46.4,168.35,1.6800000000000068,91,100,2.68,NZ,1691700762
94,boysun,38.2061,67.1986,23.879999999999995,30,0,3.15,UZ,1691701182
95,tazovsky,67.4667,78.7,6.32000000000005,65,1,9.09,RU,1691700989
96,port lincoln,-34.7333,135.8667,9.230000000000018,79,5,2.4,AU,1691700970
97,tiksi,71.6872,128.8694,16.970000000000027,49,3,2.14,RU,1691700977
98,heihe,50.2441,127.4902,17.32000000000005,94,0,0.96,CN,1691701182
99,margaret river,-33.95,115.0667,12.410000000000025,75,97,2.31,AU,1691700976
100,lihue,21.9789,-159.3672,28.58000000000004,68,75,6.69,US,1691701002
101,tabas,33.5959,56.9244,30.480000000000018,17,0,3.94,IR,1691700975
102,sao paulo de olivenca,-3.3783,-68.8725,29.08000000000004,69,81,0.85,BR,1691701182
103,bredasdorp,-34.5322,20.0403,13.300000000000011,72,0,0.83,ZA,1691700992
104,codrington,-38.2667,141.9667,9.810000000000002,81,100,4.74,AU,1691701031
105,olesnica,51.2134,17.3899,16.439999999999998,75,93,2.18,PL,1691701183
106,jining,35.405,116.5814,22.99000000000001,82,2,1.1,CN,1691701183
107,yellowknife,62.456,-114.3525,21.29000000000002,46,100,1.54,CA,1691700973
108,coahuayana de hidalgo,18.7,-103.6583,32.01000000000005,63,95,3.04,MX,1691700983
109,taoyuan city,24.9937,121.297,28.33000000000004,85,75,3.09,TW,1691701183
110,tsiombe,-25.3,45.4833,17.03000000000003,74,19,4.97,MG,1691701016
111,hithadhoo,-0.6,73.0833,27.410000000000025,79,92,5.02,MV,1691701028
112,temiskaming shores,47.4938,-79.7153,16.890000000000043,75,75,4.4,CA,1691701184
113,les cayes,18.2,-73.75,30.870000000000005,65,56,3.89,HT,1691701018
114,aykhal,66.0,111.5,15.410000000000025,88,100,2.17,RU,1691701008
115,bilibino,68.0546,166.4372,10.03000000000003,79,100,1.78,RU,1691700973
116,borogontsy,62.6683,131.1683,14.450000000000045,67,0,2.93,RU,1691701184
117,olonkinbyen,70.9221,-8.7187,6.830000000000041,98,100,5.09,SJ,1691700974
118,tamanrasset,22.785,5.5228,30.950000000000045,8,0,4.12,DZ,1691701005
119,hammerfest,70.6634,23.6821,25.25,53,0,4.12,NO,1691701007
120,shache,38.4167,77.2406,29.260000000000048,23,99,4.76,CN,1691701185
121,nuku'alofa,-21.1333,-175.2,23.189999999999998,88,75,3.09,TO,1691701003
122,tbilisskaya,45.3633,40.19,26.30000000000001,50,1,0.83,RU,1691701185
123,gloversville,43.0528,-74.3438,21.970000000000027,98,100,0.41,US,1691701185
124,happy valley-goose bay,53.3168,-60.3315,17.170000000000016,63,75,4.63,CA,1691701004
125,acarau,-2.8856,-40.12,25.910000000000025,77,25,7.55,BR,1691700965
126,carnarvon,-24.8667,113.6333,18.090000000000032,84,23,1.17,AU,1691700951
127,hamilton,39.1834,-84.5333,28.33000000000004,63,40,6.17,US,1691700782
128,yichang,30.7144,111.2847,24.950000000000045,87,31,1.24,CN,1691701185
129,hami,42.8,93.45,27.78000000000003,24,0,3.65,CN,1691701035
130,tadine,-21.55,167.8833,19.08000000000004,55,0,7.9,NC,1691701186
131,callao,-12.0667,-77.15,21.160000000000025,73,100,7.2,PE,1691700997
132,mareeba,-17.0,145.4333,17.400000000000034,92,67,1.35,AU,1691700943
133,ain oussera,35.4514,2.9058,30.960000000000036,27,0,2.75,DZ,1691701186
134,la junta,37.985,-103.5438,36.210000000000036,18,3,0.81,US,1691701186
135,loreto,22.2667,-101.9667,27.510000000000048,27,98,4.02,MX,1691701186
136,sucre,-19.0333,-65.2627,24.27000000000004,6,0,3.78,BO,1691701086
137,tabou,4.423,-7.3528,24.28000000000003,84,100,4.14,CI,1691701186
